output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-04-18_17-00.json,gsep_218_1,2002-04-18 17:00:00,2002-04-19 05:00:00,close,2002-04-19 04:15:00,-45.00,21,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-04-20_14-25.json,gsep_219,2002-04-20 14:25:00,2002-04-21 02:25:00,close,2002-04-21 02:10:00,-15.00,17,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-05-22_05-55.json,gsep_220,2002-05-22 05:55:00,2002-05-22 17:55:00,not_found,,,21,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-07-07_06-30.json,gsep_221,2002-07-07 06:30:00,2002-07-07 18:30:00,not_found,,,10,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-07-16_05-50.json,gsep_222,2002-07-16 05:50:00,2002-07-16 17:50:00,close,2002-07-16 17:45:00,-5.00,52,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-07-18_22-50.json,gsep_223,2002-07-18 22:50:00,2002-07-19 10:50:00,close,2002-07-19 08:50:00,-120.00,35,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-07-21_18-25.json,gsep_224,2002-07-21 18:25:00,2002-07-22 06:25:00,close,2002-07-22 06:35:00,10.00,16,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-13_21-00.json,gsep_225,2002-08-13 21:00:00,2002-08-14 09:00:00,close,2002-08-14 08:50:00,-10.00,23,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-16_06-05.json,gsep_226,2002-08-16 06:05:00,2002-08-16 18:05:00,close,2002-08-16 18:05:00,0.00,122,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-18_10-00.json,gsep_226_1,2002-08-18 10:00:00,2002-08-18 22:00:00,close,2002-08-18 20:40:00,-80.00,38,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-19_21-00.json,gsep_226_2,2002-08-19 21:00:00,2002-08-20 09:00:00,close,2002-08-20 07:55:00,-65.00,47,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-21_16-40.json,gsep_227,2002-08-21 16:40:00,2002-08-22 04:40:00,close,2002-08-22 04:35:00,-5.00,23,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-08-23_13-40.json,gsep_228,2002-08-23 13:40:00,2002-08-24 01:40:00,not_found,,,26,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-09-06_16-40.json,gsep_229,2002-09-06 16:40:00,2002-09-07 04:40:00,close,2002-09-07 03:10:00,-90.00,18,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-11-01_06-40.json,gsep_230,2002-11-01 06:40:00,2002-11-01 18:40:00,close,2002-11-01 17:50:00,-50.00,70,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-11-09_07-20.json,gsep_231,2002-11-09 07:20:00,2002-11-09 19:20:00,close,2002-11-09 19:15:00,-5.00,88,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-11-24_17-40.json,gsep_232,2002-11-24 17:40:00,2002-11-25 05:40:00,close,2002-11-25 05:30:00,-10.00,86,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-12-19_12-00.json,gsep_233,2002-12-19 12:00:00,2002-12-20 00:00:00,close,2002-12-19 23:25:00,-35.00,89,
